Fecha,Salen,Sin Cambios,Nuevos,Total Dia
14/03/2020,0,0,41,41
15/03/2020,0,41,12,53
16/03/2020,2,51,31,82
17/03/2020,0,82,11,93
18/03/2020,1,92,26,118
19/03/2020,0,118,46,164
20/03/2020,2,162,41,203
21/03/2020,1,202,49,251
22/03/2020,0,251,65,316
23/03/2020,4,312,55,367
24/03/2020,2,365,40,405
25/03/2020,0,405,70,475
26/03/2020,2,473,112,585
27/03/2020,1,584,133,717
28/03/2020,1,716,132,848
29/03/2020,0,848,145,993
30/03/2020,0,993,101,1094
31/03/2020,2,1092,123,1215
01/04/2020,4,1211,167,1378
02/04/2020,2,1376,134,1510
03/04/2020,2,1508,180,1688
04/04/2020,4,1684,206,1890
05/04/2020,6,1884,259,2143
06/04/2020,2143,0,2439,2439
07/04/2020,481,1958,827,2785
